oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.988,0.0,0.0,0.0,0.0,0.5,0.0,0.707
No,0,KNN,0.985,0.0,0.0,0.002,0.0,0.499,0.0,0.707
No,0,LR,0.983,0.0,0.0,0.005,0.0,0.498,0.0,0.707
No,0,DT,0.971,0.0,0.0,0.017,0.0,0.491,0.0,0.707
No,0,RF,0.988,0.0,0.0,0.0,0.0,0.5,0.0,0.707
No,0,LightGBM,0.988,0.0,0.0,0.0,0.0,0.5,0.0,0.707
No,0,Adaboost,0.988,0.0,0.0,0.0,0.0,0.5,0.0,0.707
No,0,GBDT,0.951,0.0,0.0,0.037,0.0,0.482,0.0,0.708
Random,0.0,SVM,0.818,0.014,0.2,0.174,0.026,0.513,0.322,0.579
Random,0.0,KNN,0.981,0.0,0.0,0.007,0.0,0.496,0.0,0.707
Random,0.0,LR,0.782,0.043,0.8,0.219,0.082,0.791,0.791,0.21
Random,0.0,DT,0.978,0.0,0.0,0.01,0.0,0.495,0.0,0.707
Random,0.0,RF,0.988,0.0,0.0,0.0,0.0,0.5,0.0,0.707
Random,0.0,LightGBM,0.985,0.0,0.0,0.002,0.0,0.499,0.0,0.707
Random,0.0,Adaboost,0.956,0.0,0.0,0.032,0.0,0.484,0.0,0.707
Random,0.0,GBDT,0.988,0.0,0.0,0.0,0.0,0.5,0.0,0.707
SMOTE,0.01,SVM,0.806,0.0,0.0,0.184,0.0,0.408,0.0,0.719
SMOTE,0.01,KNN,0.927,0.037,0.2,0.064,0.062,0.568,0.33,0.567
SMOTE,0.01,LR,0.762,0.03,0.6,0.236,0.058,0.682,0.672,0.328
SMOTE,0.01,DT,0.947,0.053,0.2,0.044,0.083,0.578,0.331,0.567
SMOTE,0.01,RF,0.968,0.1,0.2,0.022,0.133,0.589,0.332,0.566
SMOTE,0.01,LightGBM,0.973,0.0,0.0,0.015,0.0,0.493,0.0,0.707
SMOTE,0.01,Adaboost,0.944,0.05,0.2,0.047,0.08,0.577,0.331,0.567
SMOTE,0.01,GBDT,0.983,0.25,0.2,0.007,0.222,0.596,0.333,0.566
ADASYN,0.01,SVM,0.813,0.038,0.6,0.184,0.072,0.708,0.691,0.311
ADASYN,0.01,KNN,0.925,0.036,0.2,0.066,0.061,0.567,0.329,0.568
ADASYN,0.01,LR,0.762,0.03,0.6,0.236,0.058,0.682,0.672,0.328
ADASYN,0.01,DT,0.93,0.038,0.2,0.061,0.065,0.569,0.33,0.567
ADASYN,0.01,RF,0.968,0.1,0.2,0.022,0.133,0.589,0.332,0.566
ADASYN,0.01,LightGBM,0.985,0.333,0.2,0.005,0.25,0.598,0.333,0.566
ADASYN,0.01,Adaboost,0.959,0.071,0.2,0.032,0.105,0.584,0.332,0.566
ADASYN,0.01,GBDT,0.983,0.25,0.2,0.007,0.222,0.596,0.333,0.566
BorderlineSMOTE,0.01,SVM,0.92,0.088,0.6,0.076,0.154,0.762,0.728,0.288
BorderlineSMOTE,0.01,KNN,0.961,0.077,0.2,0.029,0.111,0.585,0.332,0.566
BorderlineSMOTE,0.01,LR,0.869,0.07,0.8,0.13,0.129,0.835,0.833,0.169
BorderlineSMOTE,0.01,DT,0.949,0.056,0.2,0.042,0.087,0.579,0.331,0.566
BorderlineSMOTE,0.01,RF,0.971,0.111,0.2,0.02,0.143,0.59,0.332,0.566
BorderlineSMOTE,0.01,LightGBM,0.976,0.143,0.2,0.015,0.167,0.593,0.333,0.566
BorderlineSMOTE,0.01,Adaboost,0.961,0.133,0.4,0.032,0.2,0.684,0.566,0.425
BorderlineSMOTE,0.01,GBDT,0.922,0.065,0.4,0.071,0.111,0.664,0.559,0.427
SVMSMOTE,0.02,SVM,0.939,0.115,0.6,0.057,0.194,0.772,0.734,0.286
SVMSMOTE,0.02,KNN,0.961,0.077,0.2,0.029,0.111,0.585,0.332,0.566
SVMSMOTE,0.02,LR,0.893,0.067,0.6,0.103,0.12,0.748,0.719,0.292
SVMSMOTE,0.02,DT,0.956,0.067,0.2,0.034,0.1,0.583,0.331,0.566
SVMSMOTE,0.02,RF,0.968,0.1,0.2,0.022,0.133,0.589,0.332,0.566
SVMSMOTE,0.02,LightGBM,0.981,0.2,0.2,0.01,0.2,0.595,0.333,0.566
SVMSMOTE,0.02,Adaboost,0.971,0.111,0.2,0.02,0.143,0.59,0.332,0.566
SVMSMOTE,0.02,GBDT,0.886,0.023,0.2,0.106,0.041,0.547,0.327,0.571
SMOTUNED,26.7,SVM,0.755,0.038,0.8,0.246,0.073,0.777,0.776,0.224
SMOTUNED,25.3,KNN,0.801,0.036,0.6,0.197,0.068,0.702,0.687,0.315
SMOTUNED,33.16,LR,0.779,0.043,0.8,0.221,0.081,0.789,0.789,0.211
SMOTUNED,14.06,DT,0.823,0.041,0.6,0.174,0.076,0.713,0.695,0.309
SMOTUNED,202.61,RF,0.811,0.026,0.4,0.184,0.049,0.608,0.537,0.444
SMOTUNED,69.94,LightGBM,0.859,0.035,0.4,0.135,0.065,0.632,0.547,0.435
SMOTUNED,183.96,Adaboost,0.867,0.037,0.4,0.128,0.068,0.636,0.548,0.434
SMOTUNED,175.13,GBDT,0.93,0.071,0.4,0.064,0.121,0.668,0.561,0.427
DAZZLE,592.8953108787537,SVM,0.937,0.0,0.0,0.052,0.0,0.474,0.0,0.708
DAZZLE,592.8953108787537,KNN,0.973,0.125,0.2,0.017,0.154,0.591,0.332,0.566
DAZZLE,592.8953108787537,LR,0.842,0.031,0.4,0.152,0.058,0.624,0.544,0.438
DAZZLE,592.8953108787537,DT,0.959,0.125,0.4,0.034,0.19,0.683,0.566,0.425
DAZZLE,592.8953108787537,RF,0.971,0.182,0.4,0.022,0.25,0.689,0.568,0.425
DAZZLE,592.8953108787537,LightGBM,0.978,0.0,0.0,0.01,0.0,0.495,0.0,0.707
DAZZLE,592.8953108787537,Adaboost,0.971,0.0,0.0,0.017,0.0,0.491,0.0,0.707
DAZZLE,592.8953108787537,GBDT,0.823,0.014,0.2,0.17,0.027,0.515,0.322,0.578
WGAN,3.52,SVM,0.988,0.0,0.0,0.0,0.0,0.5,0.0,0.707
WGAN,3.52,KNN,0.985,0.0,0.0,0.002,0.0,0.499,0.0,0.707
WGAN,3.52,LR,0.08,0.013,1.0,0.931,0.026,0.534,0.129,0.658
WGAN,3.52,DT,0.609,0.006,0.2,0.386,0.012,0.407,0.302,0.628
WGAN,3.52,RF,0.988,0.0,0.0,0.0,0.0,0.5,0.0,0.707
WGAN,3.52,LightGBM,0.951,0.0,0.0,0.037,0.0,0.482,0.0,0.708
WGAN,3.52,Adaboost,0.971,0.0,0.0,0.017,0.0,0.491,0.0,0.707
WGAN,3.52,GBDT,0.93,0.0,0.0,0.059,0.0,0.471,0.0,0.708
RP,0.4626760482788086,SVM,0.828,0.015,0.2,0.165,0.027,0.518,0.323,0.578
RP,0.4626760482788086,KNN,0.956,0.0,0.0,0.032,0.0,0.484,0.0,0.707
RP,0.4626760482788086,LR,0.772,0.041,0.8,0.229,0.078,0.786,0.785,0.215
RP,0.4626760482788086,DT,0.971,0.111,0.2,0.02,0.143,0.59,0.332,0.566
RP,0.4626760482788086,RF,0.985,0.0,0.0,0.002,0.0,0.499,0.0,0.707
RP,0.4626760482788086,LightGBM,0.988,0.0,0.0,0.0,0.0,0.5,0.0,0.707
RP,0.4626760482788086,Adaboost,0.973,0.0,0.0,0.015,0.0,0.493,0.0,0.707
